Date,Close
4/1,8599
4/2,8589
4/3,8754
4/4,8846
4/5,8741
4/8,8852
4/9,8898
4/10,8842
4/11,9042
4/12,8962
4/15,8937
4/16,8628
4/17,8551
4/18,8613
4/19,8536
4/22,8699
4/23,8787
4/24,8860
4/25,8796
4/26,8787
4/30,8980
5/1,8994
5/2,8870
5/7,8907
5/8,8801
5/9,8913
5/10,9000
5/13,9104
5/14,9159
5/15,9203
5/16,9400
5/17,9723
5/20,9869
5/21,9870
5/22,9823
5/23,9790
5/24,9789
5/27,9924
5/28,10105
5/29,10040
5/30,10045
5/31,10290
6/3,10445
6/4,10340
6/5,10090
6/6,10160
6/7,10185
6/10,10365
6/11,10280
6/12,10145
6/13,10000
6/14,9990
6/17,9860
6/18,9973
6/19,10050
6/20,10000
6/21,10000
6/24,10030
6/25,10350
6/26,10410
6/27,10450
6/28,10725
7/1,10835
