Date,Close
4/1,13065
4/2,13030
4/3,13005
4/4,13025
4/5,12780
4/8,12800
4/9,12880
4/10,12960
4/11,12855
4/12,13040
4/15,12860
4/16,12935
4/17,12665
4/18,12760
4/19,12530
4/22,12530
4/23,12495
4/24,12840
4/25,12760
4/26,13085
4/30,13085
5/1,13100
5/2,13060
5/7,12680
5/8,12050
5/9,11870
5/10,11710
5/13,11920
5/14,11965
5/15,12950
5/16,13015
5/17,13100
5/20,13065
5/21,12880
5/22,12810
5/23,12885
5/24,12650
5/27,12555
5/28,12580
5/29,12495
5/30,12650
5/31,12850
6/3,13085
6/4,13340
6/5,13435
6/6,13575
6/7,13425
6/10,13336
6/11,13340
6/12,13105
6/13,13265
6/14,13035
6/17,12695
6/18,12645
6/19,12770
6/20,12795
6/21,12810
6/24,12925
6/25,13170
6/26,13310
6/27,13530
6/28,13640
7/1,13750
